rule_id,platform,category,reference_count,reference_domains,reference_urls,source_tier,sweepx_coverage
app.lm-studio-cache,macos,application,1,developer.apple.com,,documentation_candidate,covered_by_coarse_platform_rule
app.lobsterai-update-cache,macos,application,1,github.com,,identity_or_lead_only,not_covered
app.manus-rendering-cache,macos,application,3,chromium.googlesource.com;manus.im;www.electronjs.org,,documentation_candidate,not_covered
app.manus-update-cache,macos,application,2,developer.apple.com;help.manus.im,,documentation_candidate,covered_by_coarse_platform_rule
app.media-analysis-cache,macos,application,1,developer.apple.com,,documentation_candidate,not_covered
app.media-cache,macos,application,1,developer.apple.com,,documentation_candidate,covered_by_coarse_platform_rule
app.obs-diagnostic-cache,macos,application,0,,,missing_reference,not_covered
app.office-cache,macos,application,1,developer.apple.com,,documentation_candidate,covered_by_coarse_platform_rule
app.ollama-update-cache,macos,application,1,github.com,,identity_or_lead_only,covered_by_coarse_platform_rule
app.outlook-cache,macos,application,1,developer.apple.com,,documentation_candidate,covered_by_coarse_platform_rule
app.parallels-windows-image-cache,macos,application,2,kb.parallels.com,,identity_or_lead_only,not_covered
app.postman-cache,macos,application,3,chromium.googlesource.com;learning.postman.com;www.electronjs.org,,documentation_candidate,not_covered
app.qq-cache,macos,application,2,chromium.googlesource.com;im.qq.com,,documentation_candidate,partially_covered_by_coarse_platform_rule
app.qq-update-cache,macos,application,1,im.qq.com,,identity_or_lead_only,not_covered
app.qqlive-rendering-cache,macos,application,2,chromium.googlesource.com;v.qq.com,,documentation_candidate,partially_covered_by_coarse_platform_rule
app.qwenwork-cache,macos,application,2,chromium.googlesource.com;www.electronjs.org,,documentation_candidate,not_covered
app.slack-cache,macos,application,2,slack.com;www.electronjs.org,,documentation_candidate,partially_covered_by_coarse_platform_rule
app.teams-cache,macos,application,1,learn.microsoft.com,,documentation_candidate,partially_covered_by_coarse_platform_rule
app.telegram-cache,macos,application,1,developer.apple.com,,documentation_candidate,covered_by_coarse_platform_rule
app.telegram-temporary-cache,macos,application,1,github.com,,identity_or_lead_only,not_covered
app.tencent-lemon-cache,macos,application,2,developer.apple.com;lemon.qq.com,,documentation_candidate,covered_by_coarse_platform_rule
app.tencent-meeting-cache,macos,application,2,developer.apple.com;meeting.tencent.com,,documentation_candidate,covered_by_coarse_platform_rule
app.thunder-cache,macos,application,2,developer.apple.com;mac.xunlei.com,,documentation_candidate,covered_by_coarse_platform_rule
app.thunderbird-cache,macos,application,1,developer.apple.com,,documentation_candidate,covered_by_coarse_platform_rule
app.utools-rendering-cache,macos,application,3,chromium.googlesource.com;www.electronjs.org;www.u-tools.cn,,documentation_candidate,not_covered
app.vlc-cache,macos,application,2,developer.apple.com;github.com,,documentation_candidate,covered_by_coarse_platform_rule
app.wallpaper-agent-cache,macos,application,1,developer.apple.com,,documentation_candidate,not_covered
app.wechat-cache,macos,application,2,chromium.googlesource.com;weixin.qq.com,,documentation_candidate,partially_covered_by_coarse_platform_rule
app.wecom-cache,macos,application,2,apps.apple.com;chromium.googlesource.com,,documentation_candidate,partially_covered_by_coarse_platform_rule
app.whatsapp-cache,macos,application,1,developer.apple.com,,documentation_candidate,covered_by_coarse_platform_rule
app.workbuddy-rendering-cache,macos,application,4,chromium.googlesource.com;copilot.tencent.com;www.codebuddy.cn;www.electronjs.org,,documentation_candidate,not_covered
app.wps-cache,macos,application,2,developer.apple.com;www.wps.com,,documentation_candidate,partially_covered_by_coarse_platform_rule
app.wps-diagnostic-cache,macos,application,1,www.wps.com,,identity_or_lead_only,not_covered
app.xmind-rendering-cache,macos,application,2,www.electronjs.org;xmind.cn,,documentation_candidate,not_covered
app.ynote-cache,macos,application,3,chromium.googlesource.com;note.youdao.com;www.electronjs.org,,documentation_candidate,not_covered
app.youdao-translation-cache,macos,application,1,developer.apple.com,,documentation_candidate,not_covered
app.zenaion-cache,macos,application,2,developer.apple.com;zenai.bot,,identity_or_lead_only,not_covered
app.zoom-cache,macos,application,1,developer.apple.com,,documentation_candidate,covered_by_coarse_platform_rule
browser.360-speed-cache,macos,browser,2,browser.360.cn;chromium.googlesource.com,,documentation_candidate,partially_covered_by_coarse_platform_rule
browser.arc-cache,macos,browser,0,,,missing_reference,partially_covered_by_coarse_platform_rule
browser.brave-cache,macos,browser,1,support.brave.com,,identity_or_lead_only,partially_covered_by_coarse_platform_rule
browser.chrome-cache,macos,browser,2,chromium.googlesource.com;support.google.com,,documentation_candidate,partially_covered_by_coarse_platform_rule
browser.chrome-offline-cache,macos,browser,1,chromium.googlesource.com,,documentation_candidate,not_covered
browser.chromium-cache,macos,browser,1,chromium.googlesource.com,,documentation_candidate,partially_covered_by_coarse_platform_rule
browser.edge-cache,macos,browser,1,learn.microsoft.com,,identity_or_lead_only,partially_covered_by_coarse_platform_rule
browser.edge-offline-cache,macos,browser,1,learn.microsoft.com,,identity_or_lead_only,not_covered
browser.firefox-cache,macos,browser,2,support.mozilla.org,,documentation_candidate,covered_by_coarse_platform_rule
browser.opera-cache,macos,browser,0,,,missing_reference,partially_covered_by_coarse_platform_rule
browser.uc-cache,macos,browser,2,chromium.googlesource.com;www.uc.cn,,documentation_candidate,partially_covered_by_coarse_platform_rule
browser.vivaldi-cache,macos,browser,0,,,missing_reference,partially_covered_by_coarse_platform_rule
container.docker-desktop-diagnostic-cache,macos,container,1,docs.docker.com,,documentation_candidate,not_covered
dev.android-cache,macos,development,1,developer.android.com,,identity_or_lead_only,not_covered
dev.android-user-cache,macos,development,1,developer.android.com,,identity_or_lead_only,not_covered
dev.browser-automation-cache,macos,development,3,docs.cypress.io;playwright.dev;www.selenium.dev,,identity_or_lead_only,partially_covered_by_coarse_platform_rule
dev.bun-cache,macos,development,1,bun.sh,,documentation_candidate,not_covered
dev.cargo-cache,macos,development,1,doc.rust-lang.org,,identity_or_lead_only,not_covered
dev.cargo-extracted-sources,macos,development,1,doc.rust-lang.org,,identity_or_lead_only,not_covered
dev.ccache-cache,macos,development,1,ccache.dev,,identity_or_lead_only,covered_by_coarse_platform_rule
dev.cocoapods-cache,macos,development,1,guides.cocoapods.org,,identity_or_lead_only,covered_by_coarse_platform_rule
dev.composer-cache,macos,development,1,getcomposer.org,,documentation_candidate,partially_covered_by_coarse_platform_rule
dev.copilot-cli-cache,macos,development,1,docs.github.com,,documentation_candidate,covered_by_coarse_platform_rule
dev.dart-analysis-cache,macos,development,1,github.com,,identity_or_lead_only,not_covered
dev.deno-cache,macos,development,2,docs.deno.com,,documentation_candidate,covered_by_coarse_platform_rule
dev.go-cache,macos,development,2,go.dev,,identity_or_lead_only,partially_covered_by_coarse_platform_rule
dev.gradle-cache,macos,development,1,docs.gradle.org,,documentation_candidate,not_covered
dev.hex-cache,macos,development,1,hex.hexdocs.pm,,documentation_candidate,not_covered
dev.homebrew-cache,macos,development,1,docs.brew.sh,,identity_or_lead_only,covered_by_coarse_platform_rule
dev.jetbrains-cache,macos,development,1,www.jetbrains.com,,identity_or_lead_only,covered_by_coarse_platform_rule
dev.jvm-tooling-cache,macos,development,2,ant.apache.org;www.scala-sbt.org,,documentation_candidate,not_covered
dev.maven-cache,macos,development,1,maven.apache.org,,documentation_candidate,not_covered
dev.mise-cache,macos,development,3,mise.jdx.dev,,documentation_candidate,covered_by_coarse_platform_rule
dev.node-gyp-cache,macos,development,1,github.com,,identity_or_lead_only,covered_by_coarse_platform_rule
dev.node-tooling-cache,macos,development,3,github.com,,identity_or_lead_only,partially_covered_by_coarse_platform_rule
dev.npm-cache,macos,development,1,docs.npmjs.com,,documentation_candidate,not_covered
dev.npx-cache,macos,development,1,docs.npmjs.com,,documentation_candidate,not_covered
dev.nuget-cache,macos,development,2,learn.microsoft.com,,documentation_candidate,not_covered
dev.pnpm-cache,macos,development,1,pnpm.io,,identity_or_lead_only,partially_covered_by_coarse_platform_rule
dev.pyinstaller-cache,macos,development,1,github.com,,documentation_candidate,not_covered
dev.python-cache,macos,development,4,docs.astral.sh;mypy.readthedocs.io;pip.pypa.io;python-poetry.org,,documentation_candidate,partially_covered_by_coarse_platform_rule
dev.qclaw-compile-cache,macos,development,1,nodejs.org,,identity_or_lead_only,not_covered
dev.qoder-rendering-cache,macos,development,3,chromium.googlesource.com;docs.qoder.com;www.electronjs.org,,documentation_candidate,not_covered
dev.rubygems-cache,macos,development,2,github.com;guides.rubygems.org,,identity_or_lead_only,not_covered
dev.sccache-cache,macos,development,1,github.com,,documentation_candidate,covered_by_coarse_platform_rule
dev.swiftpm-cache,macos,development,2,developer.apple.com;github.com,,documentation_candidate,covered_by_coarse_platform_rule
dev.uv-cache,macos,development,2,docs.astral.sh,,documentation_candidate,partially_covered_by_coarse_platform_rule
dev.vscode-cache,macos,development,2,code.visualstudio.com;github.com,,documentation_candidate,not_covered
dev.xcode-auxiliary-cache,macos,development,1,developer.apple.com,,documentation_candidate,not_covered
dev.xcode-derived-data,macos,development,1,developer.apple.com,,identity_or_lead_only,not_covered
dev.xcode-simulator-cache,macos,development,1,developer.apple.com,,documentation_candidate,not_covered
dev.yarn-cache,macos,development,2,classic.yarnpkg.com;yarnpkg.com,,documentation_candidate,partially_covered_by_coarse_platform_rule
system.apple-intelligence-cache,macos,system,1,developer.apple.com,,documentation_candidate,covered_by_coarse_platform_rule
system.apple-media-cache,macos,system,1,developer.apple.com,,documentation_candidate,covered_by_coarse_platform_rule
system.darwin-user-cache,macos,system,1,developer.apple.com,,documentation_candidate,not_covered
system.geo-services-cache,macos,system,1,developer.apple.com,,documentation_candidate,covered_by_coarse_platform_rule
system.help-cache,macos,system,1,developer.apple.com,,documentation_candidate,covered_by_coarse_platform_rule
system.old-diagnostic-logs,macos,system,1,developer.apple.com,,documentation_candidate,not_covered
system.parsecd-cache,macos,system,1,developer.apple.com,,documentation_candidate,covered_by_coarse_platform_rule
system.quicklook-cache,macos,system,1,developer.apple.com,,documentation_candidate,covered_by_coarse_platform_rule
system.stale-partial-downloads,macos,system,0,,,missing_reference,not_covered
system.user-temp,macos,system,1,developer.apple.com,,documentation_candidate,not_covered
ai.huggingface-xet-cache,windows,ai,0,,,missing_reference,not_covered
app.adobe-media-cache,windows,application,1,helpx.adobe.com,,documentation_candidate,not_covered
app.battlenet-cache,windows,application,3,chromium.googlesource.com;eu.support.blizzard.com;us.support.blizzard.com,,documentation_candidate,not_covered
app.chatgpt-cache,windows,application,5,chromium.googlesource.com;help.openai.com;learn.microsoft.com;openai.com,,documentation_candidate,not_covered
app.discord-cache,windows,application,3,chromium.googlesource.com;support.discord.com;www.electronjs.org,,documentation_candidate,not_covered
app.douyin-live-updater-cache,windows,application,0,,,missing_reference,not_covered
app.dropbox-rendering-cache,windows,application,2,chromium.googlesource.com;help.dropbox.com,,documentation_candidate,not_covered
app.ea-rendering-cache,windows,application,2,chromium.googlesource.com;help.ea.com,,documentation_candidate,not_covered
app.electron-cache,windows,application,2,chromium.googlesource.com;www.electronjs.org,,documentation_candidate,not_covered
app.electron-updater-cache,windows,application,3,gitmind.com;gowhisper.io;www.electron.build,,identity_or_lead_only,not_covered
app.flashvoice-cache,windows,application,2,chromium.googlesource.com;learn.microsoft.com,,documentation_candidate,not_covered
app.game-launcher-cache,windows,application,1,www.epicgames.com,,identity_or_lead_only,not_covered
app.gitmind-rendering-cache,windows,application,3,chromium.googlesource.com;gitmind.com;learn.microsoft.com,,documentation_candidate,not_covered
app.netease-cloud-music-cache,windows,application,3,chromium.googlesource.com;github.com;music.163.com,,documentation_candidate,not_covered
app.notion-cache,windows,application,4,chromium.googlesource.com;www.electronjs.org;www.notion.com,,documentation_candidate,not_covered
app.obs-diagnostic-cache,windows,application,0,,,missing_reference,not_covered
app.postman-cache,windows,application,3,chromium.googlesource.com;learning.postman.com;www.electronjs.org,,documentation_candidate,not_covered
app.qq-rendering-cache,windows,application,2,chromium.googlesource.com;im.qq.com,,documentation_candidate,not_covered
app.signal-cache,windows,application,3,chromium.googlesource.com;github.com;www.electronjs.org,,documentation_candidate,not_covered
app.sogou-input-cache,windows,application,2,chromium.googlesource.com;shurufa.sogou.com,,documentation_candidate,not_covered
app.spotify-rendering-cache,windows,application,2,chromium.googlesource.com;support.spotify.com,,documentation_candidate,not_covered
app.steam-rendering-cache,windows,application,3,chromium.googlesource.com;store.steampowered.com,,documentation_candidate,not_covered
app.teams-msix-cache,windows,application,1,learn.microsoft.com,,documentation_candidate,not_covered
app.telegram-temporary-cache,windows,application,1,github.com,,identity_or_lead_only,not_covered
app.tencent-meeting-cache,windows,application,3,chromium.googlesource.com;github.com;meeting.tencent.com,,documentation_candidate,not_covered
app.vlc-cache,windows,application,1,github.com,,identity_or_lead_only,not_covered
app.wechat-diagnostic-cache,windows,application,0,,,missing_reference,not_covered
app.wechat-rendering-cache,windows,application,2,chromium.googlesource.com;weixin.qq.com,,documentation_candidate,not_covered
app.wecom-diagnostic-cache,windows,application,1,work.weixin.qq.com,,identity_or_lead_only,not_covered
app.whatsapp-rendering-cache,windows,application,4,apps.microsoft.com;chromium.googlesource.com;learn.microsoft.com;www.whatsapp.com,,documentation_candidate,not_covered
app.wps-cache,windows,application,1,www.wps.cn,,identity_or_lead_only,not_covered
app.wps-diagnostic-cache,windows,application,1,www.wps.cn,,identity_or_lead_only,not_covered
app.wps-rendering-cache,windows,application,2,chromium.googlesource.com;www.wps.cn,,documentation_candidate,not_covered
app.zenaion-cache,windows,application,2,learn.microsoft.com;zenai.bot,,documentation_candidate,not_covered
app.zoom-diagnostic-cache,windows,application,1,support.zoom.com,,identity_or_lead_only,not_covered
browser.2345-cache,windows,browser,2,chromium.googlesource.com;www.2345.com,,documentation_candidate,not_covered
browser.360-safe-cache,windows,browser,2,browser.360.cn;chromium.googlesource.com,,documentation_candidate,not_covered
browser.360-speed-cache,windows,browser,2,browser.360.cn;chromium.googlesource.com,,documentation_candidate,not_covered
browser.arc-cache,windows,browser,1,chromium.googlesource.com,,documentation_candidate,not_covered
browser.brave-cache,windows,browser,1,support.brave.com,,identity_or_lead_only,not_covered
browser.chrome-cache,windows,browser,2,chromium.googlesource.com;support.google.com,,documentation_candidate,not_covered
browser.chrome-offline-cache,windows,browser,1,chromium.googlesource.com,,documentation_candidate,not_covered
browser.chromium-cache,windows,browser,1,chromium.googlesource.com,,documentation_candidate,not_covered
browser.duckduckgo-cache,windows,browser,0,,,missing_reference,not_covered
browser.edge-cache,windows,browser,2,learn.microsoft.com,,documentation_candidate,not_covered
browser.edge-offline-cache,windows,browser,1,learn.microsoft.com,,documentation_candidate,not_covered
browser.firefox-cache,windows,browser,2,support.mozilla.org,,documentation_candidate,not_covered
browser.gecko-family-cache,windows,browser,0,,,missing_reference,not_covered
browser.opera-cache,windows,browser,1,help.opera.com,,identity_or_lead_only,not_covered
browser.sogou-cache,windows,browser,2,chromium.googlesource.com;ie.sogou.com,,documentation_candidate,not_covered
browser.uc-cache,windows,browser,2,chromium.googlesource.com;www.uc.cn,,documentation_candidate,not_covered
browser.vivaldi-cache,windows,browser,1,help.vivaldi.com,,identity_or_lead_only,not_covered
container.docker-desktop-rendering-cache,windows,container,3,chromium.googlesource.com;docs.docker.com,,documentation_candidate,not_covered
dev.android-cache,windows,development,1,developer.android.com,,identity_or_lead_only,not_covered
dev.android-user-cache,windows,development,1,developer.android.com,,identity_or_lead_only,not_covered
dev.browser-automation-cache,windows,development,3,docs.cypress.io;playwright.dev;www.selenium.dev,,identity_or_lead_only,not_covered
dev.build-accelerator-cache,windows,development,2,developer.hashicorp.com;github.com,,documentation_candidate,not_covered
dev.cargo-cache,windows,development,2,doc.rust-lang.org;rust-lang.github.io,,identity_or_lead_only,not_covered
dev.ccache-cache,windows,development,1,ccache.dev,,identity_or_lead_only,not_covered
dev.copilot-cli-cache,windows,development,1,docs.github.com,,documentation_candidate,not_covered
dev.dart-analysis-cache,windows,development,2,github.com,,documentation_candidate,not_covered
dev.editor-cache,windows,development,3,chromium.googlesource.com;code.visualstudio.com;github.com,,documentation_candidate,not_covered
dev.go-cache,windows,development,1,go.dev,,identity_or_lead_only,not_covered
dev.go-module-cache,windows,development,1,go.dev,,identity_or_lead_only,not_covered
dev.gradle-cache,windows,development,1,docs.gradle.org,,documentation_candidate,not_covered
dev.hex-cache,windows,development,1,hex.hexdocs.pm,,documentation_candidate,not_covered
dev.jetbrains-cache,windows,development,2,www.jetbrains.com,,documentation_candidate,not_covered
dev.jvm-tooling-cache,windows,development,2,ant.apache.org;www.scala-sbt.org,,documentation_candidate,not_covered
dev.maven-cache,windows,development,1,maven.apache.org,,documentation_candidate,not_covered
dev.node-tooling-cache,windows,development,3,github.com,,identity_or_lead_only,not_covered
dev.npm-cache,windows,development,1,docs.npmjs.com,,documentation_candidate,not_covered
dev.nuget-cache,windows,development,2,learn.microsoft.com,,documentation_candidate,not_covered
dev.package-manager-cache,windows,development,3,docs.deno.com;getcomposer.org;learn.microsoft.com,,documentation_candidate,not_covered
dev.pip-cache,windows,development,1,pip.pypa.io,,identity_or_lead_only,not_covered
dev.pnpm-cache,windows,development,1,pnpm.io,,identity_or_lead_only,not_covered
dev.python-tooling-cache,windows,development,2,github.com;python-poetry.org,,documentation_candidate,not_covered
dev.sccache-cache,windows,development,1,github.com,,documentation_candidate,not_covered
dev.user-tool-cache,windows,development,8,bun.sh;docs.astral.sh;github.com;mypy.readthedocs.io;pptr.dev;pre-commit.com;www.selenium.dev,,documentation_candidate,not_covered
dev.uv-cache,windows,development,2,docs.astral.sh,,documentation_candidate,not_covered
dev.visual-studio-cache,windows,development,1,learn.microsoft.com,,identity_or_lead_only,not_covered
dev.yarn-cache,windows,development,1,classic.yarnpkg.com,,documentation_candidate,not_covered
system.crash-dumps,windows,system,1,learn.microsoft.com,,documentation_candidate,not_covered
system.directx-shader-cache,windows,system,0,,,missing_reference,not_covered
system.error-reports,windows,system,1,learn.microsoft.com,,identity_or_lead_only,not_covered
system.stale-partial-downloads,windows,system,0,,,missing_reference,not_covered
system.thumbnail-cache,windows,system,1,learn.microsoft.com,,documentation_candidate,not_covered
system.user-temp,windows,system,1,learn.microsoft.com,,documentation_candidate,not_covered
